date,price
sep 2011,9993
oct 2011,9993
nov 2011,9993
dec 2011,9993
jan 2012,10121
feb 2012,10241
mar 2012,9989
apr 2012,9989
may 2012,10304
jun 2012,10304
jul 2012,10304
aug 2012,10943
sep 2012,11151
oct 2012,11056
nov 2012,11002
dec 2012,10672
jan 2013,10642
feb 2013,10807
mar 2013,10883
apr 2013,11408
may 2013,11224
jun 2013,10704
jul 2013,10704
aug 2013,11020
sep 2013,11285
oct 2013,11363
nov 2013,11363
dec 2013,11921
jan 2014,11921
feb 2014,11661
mar 2014,11661
apr 2014,11399
may 2014,11678
jun 2014,11678
jul 2014,11878
aug 2014,11878
sep 2014,13778
oct 2014,14000
nov 2014,14100
